ID;Key;Translation
39c6ceb8-89da-4951-854c-956fca330e05;heute frei haben ;TER FOLGA HOJE
943ba940-ebb5-46a6-aadc-5ce7b5877f9e;zur Arbeit ;PARA O TRABALHO
ae51c977-dd3d-4cef-8838-645444ce43a5;im Bett liegen bleiben;ficar deitado na cama
a123aaf9-9311-4874-9049-332247b9d5c2;aufstehen ;levantar-se
7fd6e7fc-9463-4c5f-8d42-0d8b30455a8f;Frühstück ;café da manhã
d66697be-8d8d-4c76-8f64-aa9941396b07;Kaffee trinken ;beber café
ee0de7be-fa60-4258-8c2d-cf5c513ffa45;ein Stück Kuchen ;um pedaço de bolo
22723c9b-b44e-4a26-970e-085492378102;Geruch ;CHEIRO
63325e93-9757-4789-9e38-470803e2d90f;frisch ;fresco
da1e3999-2d38-4944-b44c-fcdc333380bd;sich entschließen ;decidir-se
8133055a-b9f4-44fb-98cd-c981536ebe02;Fahrradtour mache ;decidir-se
d57d3166-d99b-4408-90f7-2510c767c15b;altes Fahrrad; bicicleta velha
0be69ff6-ab49-4997-ba11-d96f2305c8d3;Garage ;garagem
53738186-1dcc-45d7-b7b9-10b9bb8fcd2c;Dorf ;vila
fb35901c-820b-4ab1-b4dc-3b93bcd5fc84;wohnen morar;morar
0337c247-e6c2-401f-8a1a-5b9ec17f8787;Wald ;floresta
90af3224-bfa1-4ddf-968a-c0ec1aa164c6;riechen nach ;cheirar a / ter cheiro de
6a97339c-b08d-441c-bbe6-885c52347e59;Kiefern und Fichten ;pinheiros e abetos
89f4cc33-9cd1-4f3e-9dee-33722757bb6f;während der Fahrt ;durante o passeio
f5f5a389-ad62-4c0a-a7c7-1e808014ff1d;Wind ;vento
f567ddeb-8ff5-427d-bc8c-fad53f82a9cc;durch die Haare ;pelos cabelos
58319ffd-7e49-4959-891d-ee287b395bb3;Blätter der Bäume ;folhas das árvores
815f180f-d75b-42f1-b460-e9812bc65ed3;Gefühl der Freiheit ;sensação de liberdade
74cbc128-e1ee-4e62-a8f2-417ce93593e0;so weit fahren wie ... ;andar o quanto ... puder
f66311ce-ec6a-46ab-882c-5b15d2ef4ae2;rasten;descansar
41169acb-ba28-4c91-a536-0b0c119a4770;kleiner Bach; riacho pequeno
d8cb957e-9731-48ae-b166-08d3cc163bfd;Brot, Käse und Wurst ;pão, queijo e salsicha
1df15c16-8b6b-4e76-8cbf-8e89d560c0b3;mitnehmen; levar consigo
3398e764-d31e-460e-9007-dfe4a3070867;bevor ;antes de
e543eb13-8f94-461e-b7ac-671fedb83389;weiterfahren ;continuar o passeio
01bf7a13-ce19-42d7-b84d-6e0fd4865eb0;nicht mehr treten können; não conseguir mais pedalar
2eb18d88-c9a8-4739-8838-eacf9ef0ae67;Kette hat sich verklemmt; a corrente ficou presa
fd2cab45-ae4c-4239-95df-b7b36fa737c9;Handy ;celular
4efdc2b8-9f19-45b7-ac30-5c6f6243af3c;ein Taxi rufen ;chamar um táxi
c9e051ff-1fc2-47dc-b142-a515906eb2f9;nach Hause bringen ;levar para casa
3763d27d-1745-49bb-843a-1bc65277cffc;Freiheit vorbei sein ;a liberdade acabar
4f628e0f-b70f-4963-888b-4a7da21b28ce;kommen ;chegar
23c60d71-3b3b-425f-ad3c-2fa52c850f7c;Bahnhof ;estação (de trem)
5bfcd3ee-490b-44e8-8460-a79bf5ee9f82;sitzen ;sentar / estar sentada
54479b33-1d01-4d9c-91f9-d69e77c04caa;vor zwanzig Minuten ;há vinte minutos
bce327ba-e1d0-4e68-a8cf-ec62b815757f;einfahren ;entrar (na estação)
626482fb-994f-439f-a07c-b33ab8197a37;immer noch nicht ;ainda não
0e3b89ea-6aa9-4c96-b0ff-557699740876;typisch ;típico
bb8653d5-3e6e-47b8-84ee-52046b9ef7bf;Deutsche Bahn; companhia ferroviária alemã
d505c614-4be7-4039-98ed-dc1d1ae64564;zu spät ;atrasado
2b48e5b3-0c3b-4412-9f54-001c3086d9aa;zornig ;com raiva
addc7285-24fe-4aba-aabf-9e49d2888a75;Verspätung ;atraso
1860d38d-65be-4db5-97d4-e931fccca916;Anschlusszug ;conexão (trem seguinte)
610422be-d669-4816-b3aa-c79868008e10;verpassen ;perder (um trem, oportunidade)
d2bb7d33-80cf-41c8-a554-402d4314c1de;warten; esperar
59c7b767-4d80-43ad-9d74-fbd48c6361cc;immer wieder ;repetidamente / várias vezes
6436a9d2-7df5-44a0-b42e-34397644e9ad;Handy ;celular
a48b9c94-d756-484c-812d-b8769628f0c0;vielleicht talvez; talvez
dff7de36-4f3e-473c-8990-053ff589f715;Fliegen ;voar / viagem de avião
1b32aaed-dba9-44fa-bc8c-92db10cb5575;Zug entschieden ;decidido pelo trem
c655ff59-a6ce-4fe0-a976-3ed5092ecc54;Stimme voz;voz
de534524-edae-419a-8eb5-ebc2be5eb58b;Lautsprecher ;alto-falante
65b06171-7812-4c34-9b69-4aa06280604b;Achtung ;atenção
8f655ff3-7ec2-4ca6-8966-0e73adcb2df5;in Kürze ;em breve
b03a736e-65d0-4971-826d-1b79a56b184b;bitte Vorsicht bei der Einfahrt ;cuidado na entrada (do trem)
